case,selected_config,E_wait,E_memory_old,E_memory_new,E_finish,runtime_sec
case001.in,finish_balanced,0.0,877.574,109543.0,2556.0,0.018229
case002.in,v1b,126894.0,328.812,471958.0,3921.0,0.015939
case003.in,finish_balanced,1999.0,498.019,102820.0,2704.0,0.017577
case004.in,finish_balanced,90849.0,513.911,393794.0,4011.0,0.016522
case005.in,finish_balanced,0.0,866.402,157841.0,2622.0,0.015986
case006.in,v1b,124575.0,434.612,423655.0,4628.0,0.015629
case007.in,memory_first,0.0,1440.79,75305.0,2669.0,0.016737
case008.in,v1d_light,2071.0,905.319,322638.0,2837.0,0.021646
case009.in,memory_first,0.0,1072.61,230590.0,2618.0,0.016707
case010.in,v1d_light,189620.0,590.851,654792.0,3661.0,0.019058
case011.in,memory_first,0.0,2383.56,275147.0,2746.0,0.019632
case012.in,memory_first,40190.0,889.408,617458.0,3137.0,0.018604
case013.in,memory_first,0.0,2504.89,422888.0,2708.0,0.018376
case014.in,finish_balanced,49141.0,1047.68,681268.0,3175.0,0.017953
case015.in,memory_first,0.0,3333.69,360252.0,2677.0,0.019944
case016.in,memory_first,47998.0,1660.97,1085770.0,3247.0,0.023123
case017.in,memory_first,0.0,2640.66,198370.0,2579.0,0.016362
case018.in,v1c,46606.0,1521.19,1292100.0,3199.0,0.019159
case019.in,memory_first,0.0,3395.2,361345.0,2677.0,0.016333
case020.in,memory_first,80592.0,1313.27,789999.0,3070.0,0.016537
case021.in,v1d_light,2100.0,2724.14,1384020.0,12438.0,0.016567
case022.in,v1d_strong,23787.0,1995.34,811782.0,10569.0,0.017821
case023.in,v1d_strong,0.0,2736.21,502368.0,12258.0,0.017927
case024.in,memory_first,492.0,3987.69,1510280.0,12459.0,0.021877
case025.in,v1d_mid,48413.0,3013.84,1334770.0,10775.0,0.02577
case026.in,memory_first,0.0,3191.44,980167.0,12346.0,0.02371
case027.in,memory_first,0.0,3203.25,1268590.0,12377.0,0.031382
case028.in,v1d_strong,114829.0,3369.18,1931130.0,10790.0,0.026356
case029.in,v1d_strong,0.0,4860.81,1209970.0,12438.0,0.02976
case030.in,v1d_light,0.0,4540.49,2633410.0,12400.0,0.028162
case031.in,v1d_mid,110845.0,4877.73,4116580.0,10941.0,0.032856
case032.in,memory_first,0.0,4416.23,1874970.0,12088.0,0.035589
case033.in,memory_first,0.0,5946.01,1989360.0,12464.0,0.026896
case034.in,v1d_mid,429572.0,4805.95,5515040.0,11447.0,0.032714
case035.in,finish_balanced,0.0,6118.92,1979550.0,12518.0,0.025798
case036.in,memory_first,2812.0,5667.01,4402740.0,12392.0,0.02567
case037.in,memory_first,212118.0,4347.1,4771640.0,10934.0,0.026114
case038.in,v1d_mid,0.0,4329.91,2736960.0,12491.0,0.031043
