case,V2.1 equal_sum,rank_sum,wait_safe,memory_safe,finish_safe,no_regret_guard
case001.in,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive
case002.in,high_reserve_v1c,high_reserve_v1c,high_reserve_v1c,high_reserve_v1c,high_reserve_v1c,high_reserve_v1c
case003.in,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive
case004.in,finish_balanced,finish_balanced,finish_balanced,finish_balanced,finish_balanced,finish_balanced
case005.in,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive
case006.in,v1b,v1b,v1b,v1b,v1b,v1b
case007.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case008.in,finish_aggressive,finish_aggressive,finish_aggressive,finish_aggressive,v1b,v1b
case009.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case010.in,scarcity_first,memory_first,scarcity_first,scarcity_first,scarcity_first,wait_first
case011.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case012.in,short_job_first,memory_first,memory_first,short_job_first,memory_first,short_job_first
case013.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case014.in,finish_balanced,high_reserve_v1c,finish_balanced,finish_balanced,finish_balanced,heavy_area_first
case015.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case016.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case017.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case018.in,v1c,short_job_first,v1c,v1c,v1c,finish_aggressive
case019.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case020.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case021.in,scarcity_first,scarcity_first,scarcity_first,scarcity_first,scarcity_first,finish_aggressive
case022.in,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong
case023.in,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong
case024.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case025.in,finish_aggressive,finish_aggressive,finish_aggressive,v1d_strong,finish_aggressive,scarcity_first
case026.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case027.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case028.in,v1d_strong,wait_memory_balance,v1d_strong,v1d_strong,v1d_strong,memory_first
case029.in,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong,v1d_strong
case030.in,scarcity_first,scarcity_first,scarcity_first,scarcity_first,scarcity_first,scarcity_first
case031.in,heavy_area_first,heavy_area_first,heavy_area_first,heavy_area_first,heavy_area_first,v1d_strong
case032.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case033.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case034.in,short_job_first,v1d_strong,short_job_first,short_job_first,short_job_first,short_job_first
case035.in,finish_balanced,finish_balanced,finish_balanced,finish_balanced,finish_balanced,finish_balanced
case036.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case037.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
case038.in,heavy_area_first,heavy_area_first,heavy_area_first,heavy_area_first,heavy_area_first,heavy_area_first
case039.in,memory_first,memory_first,memory_first,memory_first,memory_first,memory_first
