case,selected_candidate,E_wait,E_memory_new,E_finish,runtime_sec
case001.in,repair_combo_round2,0.0,109543.0,2556.0,0.022635
case002.in,v3_baseline,158089.0,456262.0,3841.0,0.018997
case003.in,repair_combo_round2,1999.0,102820.0,2704.0,0.018046
case004.in,v3_baseline,90849.0,393794.0,4011.0,0.020687
case005.in,repair_combo_round2,0.0,157841.0,2622.0,0.018385
case006.in,v3_baseline,124575.0,423655.0,4628.0,0.018425
case007.in,repair_memory_round2,0.0,73633.0,2669.0,0.016161
case008.in,v3_baseline,2071.0,322638.0,2837.0,0.016682
case009.in,repair_memory_round2,0.0,230558.0,2618.0,0.017249
case010.in,v3_baseline,191102.0,613296.0,3790.0,0.022288
case011.in,repair_combo_round2,0.0,275147.0,2746.0,0.018615
case012.in,v3_baseline,42192.0,559322.0,3115.0,0.021642
case013.in,repair_memory_round2,0.0,422888.0,2708.0,0.019654
case014.in,v3_baseline,51914.0,645276.0,3017.0,0.018482
case015.in,repair_memory_round2,0.0,360252.0,2677.0,0.01842
case016.in,v3_baseline,47998.0,1085770.0,3247.0,0.018079
case017.in,repair_memory_round2,0.0,195458.0,2579.0,0.019152
case018.in,v3_baseline,68071.0,1191320.0,3184.0,0.01874
case019.in,repair_memory_round2,0.0,361345.0,2677.0,0.019055
case020.in,v3_baseline,80592.0,789999.0,3070.0,0.018512
case021.in,repair_memory_round2,5072.0,1174360.0,12438.0,0.019373
case022.in,v3_baseline,23787.0,811782.0,10569.0,0.019759
case023.in,repair_memory_round2,0.0,502048.0,12258.0,0.021253
case024.in,v3_baseline,492.0,1510280.0,12459.0,0.023524
case025.in,v3_baseline,55406.0,1245910.0,10775.0,0.01878
case026.in,repair_memory_round2,0.0,978079.0,12346.0,0.022352
case027.in,repair_memory_round2,0.0,1248110.0,12377.0,0.029069
case028.in,v3_baseline,114829.0,1931130.0,10790.0,0.030258
case029.in,v3_baseline,0.0,1209970.0,12438.0,0.033854
case030.in,v3_baseline,0.0,2633410.0,12400.0,0.030455
case031.in,v3_baseline,113479.0,4089170.0,10941.0,0.029705
case032.in,repair_memory_round2,0.0,1874970.0,12088.0,0.029935
case033.in,repair_memory_round2,0.0,1989360.0,12464.0,0.031827
case034.in,v3_baseline,407390.0,5427380.0,11582.0,0.052782
