case,profile,selected_candidate,E_wait,E_memory_new,E_finish,runtime,cheap_candidate_count,repair_candidate_count,guard_triggered,oracle_best_leaderboard_proxy,oracle_best_minmax,oracle_best_rank,selector_gap
case001.in,balanced,combo_r2_p3_b12,0.0,109543.0,2556.0,0.020949,50,3,0,fast_v1d_light,fast_v1d_light,fast_v1d_light,0.0
case002.in,balanced,v6_seed_10,131059.0,447926.0,3841.0,0.024181,50,3,0,v6_seed_10,v6_seed_10,v6_seed_10,0.0
case003.in,balanced,v6_seed_19,1365.0,102820.0,2704.0,0.020645,50,3,0,v6_seed_4,v6_seed_4,v6_seed_4,0.0
case004.in,balanced,v5_heavy,72961.0,393794.0,4011.0,0.021485,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case005.in,balanced,combo_r2_p3_b12,0.0,157841.0,2622.0,0.025296,50,3,0,fast_v1d_light,fast_v1d_light,fast_v1d_light,0.0
case006.in,balanced,v5_heavy,124575.0,423655.0,4628.0,0.025950,50,3,0,v5_heavy,v6_seed_16,v5_heavy,0.0
case007.in,balanced,v6_seed_27,0.0,72289.0,2669.0,0.023303,50,3,0,v6_seed_27,v6_seed_27,v6_seed_27,0.0
case008.in,balanced,v6_seed_12,3238.0,321278.0,2776.0,0.021436,50,3,0,v6_seed_12,v6_seed_15,v6_seed_12,0.0
case009.in,balanced,memory_r2_p3_b12,0.0,230558.0,2618.0,0.025204,50,3,0,memory_r2_p3_b12,memory_r2_p3_b12,memory_r2_p3_b12,0.0
case010.in,heterogeneous_tight,v5_heavy,179093.0,565104.0,3751.0,0.031808,50,3,0,v5_heavy,v6_seed_28,v6_seed_28,0.0
case011.in,balanced,combo_r2_p3_b12,0.0,275147.0,2746.0,0.029522,50,3,0,memory_first_light,memory_first_light,memory_first_light,0.0
case012.in,memory_dominated,safe_top1_memory,39294.0,559322.0,3115.0,0.037780,50,3,0,safe_top1_memory,v6_seed_33,safe_top1_memory,0.0
case013.in,balanced,v6_seed_18,0.0,398584.0,2708.0,0.038459,50,3,0,v6_seed_18,v6_seed_18,v6_seed_18,0.0
case014.in,memory_dominated,v5_heavy,51914.0,645276.0,3017.0,0.028626,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case015.in,balanced,memory_r2_p3_b12,0.0,360252.0,2677.0,0.032912,50,3,0,memory_r2_p3_b12,memory_r2_p3_b12,memory_r2_p3_b12,0.0
case016.in,memory_dominated,memory_first_light,47998.0,1085770.0,3247.0,0.031996,50,3,0,memory_first_light,v6_seed_11,v6_seed_11,0.0
case017.in,balanced,v6_seed_11,0.0,191362.0,2579.0,0.039450,50,3,0,v6_seed_11,v6_seed_11,v6_seed_11,0.0
case018.in,memory_dominated,v5_heavy,68071.0,1191320.0,3184.0,0.032133,50,3,0,v5_heavy,v6_seed_27,v6_seed_27,0.0
case019.in,balanced,v6_seed_39,0.0,359857.0,2677.0,0.032587,50,3,0,v6_seed_39,v6_seed_39,v6_seed_39,0.0
case020.in,balanced,v6_seed_9,74755.0,743751.0,3070.0,0.034695,50,3,0,v6_seed_9,v6_seed_7,v6_seed_9,0.0
case021.in,balanced,v6_seed_6,190.0,1276900.0,12438.0,0.048666,50,3,0,v6_seed_6,v6_seed_6,v6_seed_6,0.0
