case,selected_final_source,runtime,accepted_repairs,E_wait,E_memory_new,E_finish,raw_metric_delta_sum,destroy_set_size_total,beam_width,guard_triggered
case001.in,v7_operator_5,0.029409,18,0.0,109543.0,2556.0,0.0,90,12,0
case002.in,v6_seed_10,0.033311,0,131059.0,447926.0,3841.0,0.0,5,12,1
case003.in,v7_operator_3,0.024691,1,1133.0,102820.0,2704.0,-232.0,90,12,0
case004.in,v7_operator_2,0.021528,2,63207.0,374722.0,4011.0,-28826.0,20,12,1
case005.in,v7_operator_5,0.029089,18,0.0,157841.0,2622.0,0.0,90,12,0
case006.in,v5_heavy,0.026559,0,124575.0,423655.0,4628.0,0.0,0,12,1
case007.in,v7_operator_5,0.029949,18,0.0,72289.0,2669.0,0.0,90,12,0
case008.in,v6_seed_12,0.027261,0,3238.0,321278.0,2776.0,0.0,90,12,0
case009.in,v7_operator_5,0.029362,18,0.0,230558.0,2618.0,0.0,90,12,0
case010.in,v5_heavy,0.031234,0,179093.0,565104.0,3751.0,0.0,0,12,1
case011.in,v7_operator_5,0.033818,18,0.0,275147.0,2746.0,0.0,90,12,0
case012.in,safe_top1_memory,0.032528,0,39294.0,559322.0,3115.0,0.0,90,12,0
case013.in,v7_operator_5,0.035915,18,0.0,398584.0,2708.0,0.0,90,12,0
case014.in,v5_heavy,0.036332,0,51914.0,645276.0,3017.0,0.0,90,12,0
case015.in,v7_operator_5,0.042160,18,0.0,360252.0,2677.0,0.0,90,12,0
case016.in,memory_first_light,0.033197,0,47998.0,1085770.0,3247.0,0.0,90,12,0
case017.in,v7_operator_5,0.042923,18,0.0,191362.0,2579.0,0.0,90,12,0
case018.in,v7_operator_2,0.033689,1,64843.0,1175060.0,3184.0,-19488.0,20,12,1
case019.in,v7_operator_5,0.043491,18,0.0,359857.0,2677.0,0.0,90,12,0
case020.in,v6_seed_9,0.036443,0,74755.0,743751.0,3070.0,0.0,5,12,1
case021.in,v7_operator_4,0.046767,2,190.0,1247550.0,12438.0,-29350.0,90,12,0
case022.in,v7_operator_3,0.041701,1,20261.0,727574.0,10569.0,-2160.0,90,12,0
case023.in,v7_operator_5,0.056545,18,0.0,476776.0,12258.0,0.0,90,12,0
case024.in,v7_operator_0,0.071468,1,492.0,1494340.0,12459.0,-8750.0,90,12,0
case025.in,v5_heavy,0.038712,0,55406.0,1227820.0,10775.0,0.0,90,12,0
case026.in,v7_operator_5,0.059857,18,0.0,913799.0,12346.0,0.0,90,12,0
case027.in,v7_operator_5,0.067873,18,0.0,1233710.0,12377.0,0.0,90,12,0
case028.in,v7_operator_0,0.087442,1,101393.0,1752490.0,10776.0,-155911.0,90,12,0
case029.in,v7_operator_5,0.107998,18,0.0,1140330.0,12438.0,0.0,108,12,0
case030.in,v7_operator_5,0.102558,13,0.0,2611160.0,12400.0,0.0,108,12,0
