case,V6_E_wait,V6_E_memory_new,V6_E_finish,selected_skeleton,selected_E_wait,selected_E_memory_new,selected_E_finish,E_wait_delta,E_memory_delta,E_finish_delta,runtime,case_profile,hard_job_count,protected_job_count,window_size,candidate_source
case001.in,0.0,109543.0,2556.0,v6_safe,0.0,109543.0,2556.0,0.0,0.0,0.0,0.020949,balanced,0,0,0,v6_safe
case002.in,131059.0,447926.0,3841.0,v6_safe,131059.0,447926.0,3841.0,0.0,0.0,0.0,0.024181,balanced,0,0,0,v6_safe
case003.in,1365.0,102820.0,2704.0,v6_safe,1365.0,102820.0,2704.0,0.0,0.0,0.0,0.020645,balanced,0,0,0,v6_safe
case004.in,72961.0,393794.0,4011.0,window_wait_hotspot,65393.0,393794.0,4011.0,-7568.0,0.0,0.0,0.018587,balanced,0,0,5,window_repacking
case005.in,0.0,157841.0,2622.0,v6_safe,0.0,157841.0,2622.0,0.0,0.0,0.0,0.025296,balanced,0,0,0,v6_safe
case006.in,124575.0,423655.0,4628.0,window_tail_hotspot,123244.0,423655.0,4628.0,-1331.0,0.0,0.0,0.021594,balanced,0,0,5,window_repacking
case007.in,0.0,72289.0,2669.0,v6_safe,0.0,72289.0,2669.0,0.0,0.0,0.0,0.023303,balanced,0,0,0,v6_safe
case008.in,3238.0,321278.0,2776.0,v6_safe,3238.0,321278.0,2776.0,0.0,0.0,0.0,0.021436,balanced,0,0,0,v6_safe
case009.in,0.0,230558.0,2618.0,v6_safe,0.0,230558.0,2618.0,0.0,0.0,0.0,0.025204,balanced,0,0,0,v6_safe
case010.in,179093.0,565104.0,3751.0,v6_safe,179093.0,565104.0,3751.0,0.0,0.0,0.0,0.031808,heterogeneous_tight,0,0,0,v6_safe
case011.in,0.0,275147.0,2746.0,v6_safe,0.0,275147.0,2746.0,0.0,0.0,0.0,0.029522,balanced,0,0,0,v6_safe
case012.in,39294.0,559322.0,3115.0,regret2_hard_first,36634.0,554210.0,3061.0,-2660.0,-5112.0,-54.0,0.013428,memory_dominated,0,0,0,regret_constructor
case013.in,0.0,398584.0,2708.0,v6_safe,0.0,398584.0,2708.0,0.0,0.0,0.0,0.038459,balanced,0,0,0,v6_safe
case014.in,51914.0,645276.0,3017.0,hard_p15_slack0,49425.0,659852.0,2910.0,-2489.0,14576.0,-107.0,0.011553,memory_dominated,10,0,0,hard_job_skeleton
case015.in,0.0,360252.0,2677.0,v6_safe,0.0,360252.0,2677.0,0.0,0.0,0.0,0.032912,balanced,0,0,0,v6_safe
case016.in,47998.0,1085770.0,3247.0,hard_p15_slack_light,40801.0,1090250.0,3467.0,-7197.0,4480.0,220.0,0.012990,memory_dominated,11,0,0,hard_job_skeleton
case017.in,0.0,191362.0,2579.0,v6_safe,0.0,191362.0,2579.0,0.0,0.0,0.0,0.039450,balanced,0,0,0,v6_safe
case018.in,68071.0,1191320.0,3184.0,v6_safe,68071.0,1191320.0,3184.0,0.0,0.0,0.0,0.032133,memory_dominated,0,0,0,v6_safe
case019.in,0.0,359857.0,2677.0,v6_safe,0.0,359857.0,2677.0,0.0,0.0,0.0,0.032587,balanced,0,0,0,v6_safe
case020.in,74755.0,743751.0,3070.0,v6_safe,74755.0,743751.0,3070.0,0.0,0.0,0.0,0.034695,balanced,0,0,0,v6_safe
case021.in,190.0,1276900.0,12438.0,window_memory_hotspot,115.0,1276900.0,12438.0,-75.0,0.0,0.0,0.033806,balanced,0,0,14,window_repacking
case022.in,22421.0,727574.0,10569.0,v6_safe,22421.0,727574.0,10569.0,0.0,0.0,0.0,0.037009,balanced,0,0,0,v6_safe
case023.in,0.0,476776.0,12258.0,v6_safe,0.0,476776.0,12258.0,0.0,0.0,0.0,0.037191,memory_dominated,0,0,0,v6_safe
case024.in,492.0,1503090.0,12459.0,window_memory_hotspot,492.0,1494340.0,12459.0,0.0,-8750.0,0.0,0.051667,memory_dominated,0,0,23,window_repacking
case025.in,55406.0,1227820.0,10775.0,window_tail_hotspot,54547.0,1206900.0,10775.0,-859.0,-20920.0,0.0,0.031820,memory_dominated,0,0,10,window_repacking
case026.in,0.0,913799.0,12346.0,window_memory_hotspot,0.0,899015.0,12346.0,0.0,-14784.0,0.0,0.044568,balanced,0,0,18,window_repacking
case027.in,0.0,1233710.0,12377.0,window_tail_hotspot,0.0,1233090.0,12377.0,0.0,-620.0,0.0,0.050653,balanced,0,0,23,window_repacking
case028.in,100504.0,1909290.0,10776.0,v6_safe,100504.0,1909290.0,10776.0,0.0,0.0,0.0,0.063577,memory_dominated,0,0,0,v6_safe
case029.in,0.0,1140330.0,12438.0,window_tail_hotspot,0.0,1132620.0,12438.0,0.0,-7710.0,0.0,0.078906,balanced,0,0,31,window_repacking
case030.in,0.0,2611160.0,12400.0,hard_p5_slack0,0.0,2594290.0,12400.0,0.0,-16870.0,0.0,0.014604,balanced,16,0,0,hard_job_skeleton
case031.in,107562.0,3698540.0,10934.0,window_wait_hotspot,105544.0,3584370.0,10934.0,-2018.0,-114170.0,0.0,0.064683,balanced,0,0,27,window_repacking
case032.in,0.0,1828650.0,12088.0,v6_safe,0.0,1828650.0,12088.0,0.0,0.0,0.0,0.075183,balanced,0,0,0,v6_safe
case033.in,0.0,1928920.0,12464.0,v6_safe,0.0,1928920.0,12464.0,0.0,0.0,0.0,0.090614,memory_dominated,0,0,0,v6_safe
case034.in,438746.0,5396660.0,11316.0,v6_safe,438746.0,5396660.0,11316.0,0.0,0.0,0.0,0.169236,memory_dominated,0,0,0,v6_safe
case035.in,0.0,1979550.0,12518.0,window_tail_hotspot,0.0,1889720.0,12518.0,0.0,-89830.0,0.0,0.110878,balanced,0,0,46,window_repacking
case036.in,2165.0,4191860.0,12392.0,hard_p10_slack_light,224.0,4359760.0,12392.0,-1941.0,167900.0,0.0,0.014264,balanced,49,0,0,hard_job_skeleton
