case,is_legal,selected_solver,E_wait,E_memory_new,E_finish,runtime_sec,outcome_vs_v6,trigger_tail,trigger_memory,trigger_shape,trigger_blocker,run_tail,run_memory,run_shape,run_blocker,accept_tail,accept_memory,accept_shape,accept_blocker
case001.in,1,memory_window_repack,0.0,108871.0,2556.0,0.018443,improved,0,1,1,0,0,1,1,0,0,1,0,0
case002.in,1,v6_safe_baseline,131059.0,447926.0,3841.0,0.023649,equal,1,1,1,0,1,1,1,0,0,0,0,0
case003.in,1,v6_safe_baseline,1365.0,102820.0,2704.0,0.016412,equal,0,1,1,0,0,1,1,0,0,0,0,0
case004.in,1,v6_safe_baseline,72961.0,393794.0,4011.0,0.021604,equal,0,1,1,0,0,1,1,0,0,0,0,0
case005.in,1,memory_window_repack,0.0,153737.0,2622.0,0.021893,improved,0,1,1,0,0,1,1,0,0,1,0,0
case006.in,1,memory_window_repack,124575.0,420391.0,4628.0,0.030957,improved,0,1,1,0,0,1,1,0,0,1,0,0
case007.in,1,memory_window_repack,0.0,71585.0,2669.0,0.030235,improved,1,1,1,0,1,1,1,0,0,1,0,0
case008.in,1,memory_window_repack,3238.0,316654.0,2776.0,0.025905,improved,1,1,1,0,1,1,1,0,0,1,0,0
case009.in,1,v6_safe_baseline,0.0,230558.0,2618.0,0.039841,equal,0,1,1,0,0,1,1,0,0,0,0,0
case010.in,1,v6_safe_baseline,179093.0,565104.0,3751.0,0.041864,equal,1,1,1,0,1,1,1,0,0,0,0,0
case011.in,1,memory_window_repack,0.0,272667.0,2746.0,0.052452,improved,1,1,1,0,1,1,1,0,0,1,0,0
case012.in,1,memory_window_repack,39294.0,546962.0,3115.0,0.049928,improved,1,1,1,0,1,1,1,0,0,1,0,0
case013.in,1,v6_safe_baseline,0.0,398584.0,2708.0,0.056022,equal,1,1,1,0,1,1,1,0,0,0,0,0
case014.in,1,v6_safe_baseline,51914.0,645276.0,3017.0,0.036778,equal,1,1,1,0,1,1,1,0,0,0,0,0
case015.in,1,v6_safe_baseline,0.0,360252.0,2677.0,0.069159,equal,0,1,1,0,0,1,1,0,0,0,0,0
case016.in,1,v6_safe_baseline,47998.0,1085770.0,3247.0,0.047501,equal,1,1,1,0,1,1,1,0,0,0,0,0
case017.in,1,v6_safe_baseline,0.0,191362.0,2579.0,0.072582,equal,1,1,1,0,1,1,1,0,0,0,0,0
case018.in,1,memory_window_repack,68071.0,1144600.0,3184.0,0.051978,improved,1,1,1,0,1,1,1,0,0,1,0,0
