实例,退出码,耗时(s),超时,输出行数,任务数,E_wait,E_memory,E_finish,合法,错误信息
case001.in,0,0.0071,0,20,20,,,,,
case002.in,0,0.0058,0,31,31,,,,,
case003.in,0,0.0054,0,23,23,,,,,
case004.in,0,0.0059,0,29,29,,,,,
case005.in,0,0.0067,0,35,35,,,,,
case006.in,0,0.0065,0,49,49,,,,,
case007.in,0,0.0061,0,40,40,,,,,
case008.in,0,0.0060,0,41,41,,,,,
case009.in,0,0.0078,0,59,59,,,,,
case010.in,0,0.0061,0,59,59,,,,,
case011.in,0,0.0057,0,69,69,,,,,
case012.in,0,0.0057,0,71,71,,,,,
case013.in,0,0.0060,0,77,77,,,,,
case014.in,0,0.0058,0,68,68,,,,,
case015.in,0,0.0058,0,87,87,,,,,
case016.in,0,0.0061,0,76,76,,,,,
case017.in,0,0.0114,0,86,86,,,,,
case018.in,0,0.0258,0,86,86,,,,,
case019.in,0,0.0058,0,97,97,,,,,
case020.in,0,0.0059,0,94,94,,,,,
case021.in,0,0.0056,0,143,143,,,,,
case022.in,0,0.0058,0,101,101,,,,,
case023.in,0,0.0057,0,117,117,,,,,
case024.in,0,0.0057,0,233,233,,,,,
case025.in,0,0.0055,0,105,105,,,,,
case026.in,0,0.0056,0,189,189,,,,,
case027.in,0,0.0055,0,237,237,,,,,
case028.in,0,0.0056,0,229,229,,,,,
case029.in,0,0.0057,0,311,311,,,,,
case030.in,0,0.0062,0,339,339,,,,,
case031.in,0,0.0057,0,272,272,,,,,
case032.in,0,0.0074,0,349,349,,,,,
case033.in,0,0.0070,0,372,372,,,,,
case034.in,0,0.0068,0,446,446,,,,,
case035.in,0,0.0069,0,461,461,,,,,
case036.in,0,0.0062,0,490,490,,,,,
case037.in,0,0.0083,0,402,402,,,,,
case038.in,0,0.0083,0,574,574,,,,,
case039.in,0,0.0062,0,602,602,,,,,
case040.in,0,0.0063,0,579,579,,,,,
case041.in,0,0.0061,0,568,568,,,,,
case042.in,0,0.0061,0,518,518,,,,,
case043.in,0,0.0085,0,605,605,,,,,
case044.in,0,0.0069,0,684,684,,,,,
case045.in,0,0.0065,0,688,688,,,,,
case046.in,0,0.0072,0,724,724,,,,,
case047.in,0,0.0077,0,618,618,,,,,
case048.in,0,0.0073,0,715,715,,,,,
case049.in,0,0.0085,0,815,815,,,,,
case050.in,0,0.0063,0,722,722,,,,,
case051.in,0,0.0063,0,754,754,,,,,
case052.in,0,0.0096,0,751,751,,,,,
case053.in,0,0.0068,0,851,851,,,,,
case054.in,0,0.0078,0,794,794,,,,,
case055.in,0,0.0071,0,946,946,,,,,
case056.in,0,0.0093,0,913,913,,,,,
case057.in,0,0.0089,0,1000,1000,,,,,
case058.in,0,0.0100,0,865,865,,,,,
case059.in,0,0.0162,0,982,982,,,,,
case060.in,0,0.0071,0,970,970,,,,,
case061.in,0,0.0068,0,1001,1001,,,,,
case062.in,0,0.0072,0,1470,1470,,,,,
case063.in,0,0.0069,0,1309,1309,,,,,
case064.in,0,0.0080,0,1719,1719,,,,,
case065.in,0,0.0073,0,1241,1241,,,,,
case066.in,0,0.0079,0,1418,1418,,,,,
case067.in,0,0.0092,0,2123,2123,,,,,
case068.in,0,0.0077,0,1661,1661,,,,,
case069.in,0,0.0078,0,1726,1726,,,,,
case070.in,0,0.0083,0,2324,2324,,,,,
case071.in,0,0.0094,0,2499,2499,,,,,
case072.in,0,0.0081,0,2340,2340,,,,,
case073.in,0,0.0091,0,2571,2571,,,,,
case074.in,0,0.0096,0,2548,2548,,,,,
case075.in,0,0.0104,0,3198,3198,,,,,
case076.in,0,0.0108,0,3284,3284,,,,,
case077.in,0,0.0092,0,3200,3200,,,,,
case078.in,0,0.0095,0,3431,3431,,,,,
case079.in,0,0.0108,0,3329,3329,,,,,
case080.in,0,0.0102,0,3934,3934,,,,,
case081.in,0,0.0105,0,3822,3822,,,,,
case082.in,0,0.0430,0,3526,3526,,,,,
case083.in,0,0.0140,0,4233,4233,,,,,
case084.in,0,0.0103,0,4488,4488,,,,,
case085.in,0,0.0102,0,4128,4128,,,,,
case086.in,0,0.0102,0,4210,4210,,,,,
case087.in,0,0.0105,0,4350,4350,,,,,
case088.in,0,0.0104,0,4898,4898,,,,,
case089.in,0,0.0115,0,5000,5000,,,,,
case090.in,0,0.0125,0,4660,4660,,,,,
case091.in,0,0.0075,0,1388,1388,,,,,
case092.in,0,0.0069,0,1142,1142,,,,,
case093.in,0,0.0074,0,1616,1616,,,,,
case094.in,0,0.0083,0,2295,2295,,,,,
case095.in,0,0.0087,0,3127,3127,,,,,
case096.in,0,0.0127,0,2891,2891,,,,,
case097.in,0,0.0114,0,3350,3350,,,,,
case098.in,0,0.0114,0,3787,3787,,,,,
case099.in,0,0.0123,0,4655,4655,,,,,
case100.in,0,0.0106,0,5000,5000,,,,,
